Field	Red Robot	Yellow Robot	Ball
(363.8434143066406, 320.8544921875)	(130.7462158203125, 223.29795837402344)	(230.65036010742188, 189.65631103515625)	(174.97555541992188, 49.17314529418945)
(363.8614501953125, 322.08367919921875)	(527.5706787109375, 199.10011291503906)	(216.4794158935547, 94.62300109863281)	(574.8466796875, 47.824188232421875)
(363.8099365234375, 322.87908935546875)	(182.3595428466797, 110.68103790283203)	(608.7062377929688, 93.05057525634766)	(374.6616516113281, 336.4337158203125)
(364.04840087890625, 323.0274963378906)	(130.63807678222656, 222.9114227294922)	(230.4786376953125, 186.176025390625)	(177.70306396484375, 46.36284637451172)
(364.16064453125, 324.2058410644531)	(527.2665405273438, 196.83592224121094)	(211.11756896972656, 91.88934326171875)	(574.204345703125, 45.586055755615234)
(363.767333984375, 325.2611083984375)	(182.31082153320312, 107.99475860595703)	(608.5091552734375, 89.90365600585938)	(374.2856750488281, 330.477294921875)
(363.44146728515625, 325.6886291503906)	(128.24359130859375, 219.94334411621094)	(230.9917755126953, 182.10028076171875)	(178.92111206054688, 43.47494888305664)
(363.19232177734375, 325.9230041503906)	(526.0550537109375, 193.93923950195312)	(209.34866333007812, 92.74876403808594)	(572.5047607421875, 42.33711624145508)
(363.11444091796875, 326.18719482421875)	(182.3362274169922, 105.2082290649414)	(608.7725219726562, 90.91012573242188)	(180.04136657714844, 43.82049560546875)
(362.957763671875, 326.34893798828125)	(126.60640716552734, 218.26783752441406)	(231.528076171875, 181.75662231445312)	(572.5173950195312, 42.660640716552734)
(362.9564514160156, 326.5562438964844)	(524.9085083007812, 191.56797790527344)	(208.5315399169922, 88.23099517822266)	(176.84925842285156, 42.04417037963867)
(362.7850341796875, 326.4700622558594)	(182.43252563476562, 103.54625701904297)	(608.476806640625, 87.01714324951172)	(572.5595703125, 40.20845413208008)
(362.62908935546875, 326.5918884277344)	(125.45319366455078, 218.09925842285156)	(230.31846618652344, 178.23001098632812)	(175.14041137695312, 39.510414123535156)
(362.5533447265625, 326.4836120605469)	(523.8966064453125, 188.85470581054688)	(212.986572265625, 83.17544555664062)	(573.7630004882812, 36.75292205810547)
(362.54486083984375, 326.5357666015625)	(181.3939971923828, 101.27085876464844)	(608.2723999023438, 82.59114837646484)	(174.66737365722656, 36.9983024597168)
(362.5472106933594, 326.0700378417969)	(523.8255004882812, 189.37806701660156)	(229.7604217529297, 173.64356994628906)	(574.5018310546875, 34.70494079589844)
(362.53521728515625, 325.7726135253906)	(181.38546752929688, 101.2950439453125)	(211.61439514160156, 80.70050811767578)	(173.80130004882812, 34.117218017578125)
(362.7499084472656, 325.0335693359375)	(521.4559326171875, 184.0038604736328)	(608.146728515625, 79.7623291015625)	(574.7899780273438, 32.924407958984375)
(362.96746826171875, 324.3266906738281)	(181.38351440429688, 96.35057830810547)	(230.1310272216797, 170.29843139648438)	(172.7954559326172, 30.737060546875)
(363.2887878417969, 323.6941833496094)	(123.33145141601562, 205.5990447998047)	(210.20281982421875, 78.12599182128906)	(602.3939208984375, 43.95792770385742)
(363.46514892578125, 323.650390625)	(520.328857421875, 179.7398681640625)	(608.0101318359375, 77.04205322265625)	(574.5986328125, 30.808496475219727)
(363.43426513671875, 323.30084228515625)	(122.18560028076172, 199.70419311523438)	(229.93862915039062, 169.3968505859375)	(173.57647705078125, 28.578506469726562)
(363.28558349609375, 322.5533447265625)	(520.0533447265625, 177.67733764648438)	(208.8137664794922, 75.9489517211914)	(174.63414001464844, 28.619224548339844)
(363.060791015625, 321.5944519042969)	(180.3413848876953, 91.02581024169922)	(606.9319458007812, 74.98552703857422)	(174.91726684570312, 31.744579315185547)
