Field	Red Robot	Yellow Robot	Ball
	(532.8045654296875, 162.55923461914062)	(268.4991149902344, 79.47693634033203)	
	(136.1409454345703, 165.17945861816406)	(173.5140380859375, 74.86690521240234)	
	(532.332763671875, 162.7688751220703)	(267.7503967285156, 79.25704193115234)	
	(135.32284545898438, 164.93048095703125)	(173.6185760498047, 74.73487854003906)	
	(531.21875, 162.6317901611328)	(267.218994140625, 79.35136413574219)	
	(134.68284606933594, 164.81028747558594)	(173.4859619140625, 74.83399200439453)	
	(530.6417236328125, 163.00762939453125)	(266.65679931640625, 79.48419189453125)	
	(134.19927978515625, 164.92507934570312)	(173.59716796875, 75.35569763183594)	
	(530.107177734375, 163.068359375)	(266.25994873046875, 79.96381378173828)	
	(133.63223266601562, 164.85256958007812)	(173.59344482421875, 75.42618560791016)	
	(529.4351806640625, 163.2496795654297)	(266.3243713378906, 79.66358184814453)	
	(133.14952087402344, 165.11776733398438)	(173.4842071533203, 75.74713897705078)	
	(132.87010192871094, 165.19195556640625)	(266.6671447753906, 79.41410064697266)	
	(537.7525024414062, 163.3722686767578)	(173.02392578125, 75.98430633544922)	
	(538.1934814453125, 163.29539489746094)	(266.15618896484375, 79.20092010498047)	
	(538.2991943359375, 163.42657470703125)	(172.9729461669922, 76.22030639648438)	
	(538.5529174804688, 163.35252380371094)	(266.0690002441406, 79.3203353881836)	
	(538.6657104492188, 163.4135284423828)	(172.97059631347656, 76.53242492675781)	
	(539.0946655273438, 164.05072021484375)	(266.5988464355469, 79.33521270751953)	
	(539.7931518554688, 164.23983764648438)	(172.77980041503906, 76.2335433959961)	
	(540.103271484375, 164.01205444335938)	(266.6286315917969, 78.95977020263672)	
	(540.291259765625, 163.84024047851562)	(172.88380432128906, 76.15299224853516)	
	(540.92578125, 164.19154357910156)	(267.1051330566406, 78.93658447265625)	
	(540.9953002929688, 164.4046630859375)	(267.8266906738281, 79.0032730102539)	
	(540.9320068359375, 164.24935913085938)	(267.66717529296875, 79.18484497070312)	
	(541.0263671875, 163.93772888183594)	(515.265380859375, 170.34722900390625)	
	(541.2264404296875, 163.741943359375)	(266.3367004394531, 79.71561431884766)	
	(541.4627685546875, 163.3027801513672)	(516.274658203125, 169.74057006835938)	
	(541.830810546875, 162.46946716308594)	(342.9019775390625, 144.60804748535156)	
	(541.9732666015625, 162.40830993652344)	(267.9771423339844, 78.71099090576172)	
	(542.3438720703125, 161.92254638671875)	(517.4796752929688, 168.91603088378906)	
	(542.5465087890625, 161.0920867919922)	(172.7276611328125, 76.19613647460938)	
	(542.7133178710938, 159.96502685546875)	(268.2281799316406, 78.19203186035156)	
	(543.197509765625, 158.895751953125)	(518.4627685546875, 168.23040771484375)	
	(287.9376220703125, 315.90850830078125)	(172.241455078125, 76.5354232788086)	
	(543.7090454101562, 157.7184600830078)	(269.15179443359375, 77.72200775146484)	
	(288.0202331542969, 315.3934326171875)	(519.7357177734375, 167.40957641601562)	
	(543.5462646484375, 157.2713623046875)	(172.4345245361328, 76.17965698242188)	
	(289.0950927734375, 313.7708740234375)	(268.30255126953125, 77.14996337890625)	
	(543.7601928710938, 156.65232849121094)	(520.9407958984375, 166.40882873535156)	
	(289.3058776855469, 312.62896728515625)	(172.3852081298828, 76.28569030761719)	
	(543.7953491210938, 156.10888671875)	(266.0732727050781, 76.74515533447266)	
	(288.7899475097656, 311.61578369140625)	(521.77001953125, 165.6782989501953)	
	(543.5474853515625, 155.9585418701172)	(171.96116638183594, 76.21570587158203)	
	(543.112060546875, 156.13864135742188)	(265.460205078125, 76.34737396240234)	
	(542.079345703125, 155.68374633789062)	(522.8562622070312, 164.77731323242188)	
	(541.3841552734375, 155.38525390625)	(170.93785095214844, 76.64476776123047)	
	(541.40869140625, 154.9010467529297)	(265.1097412109375, 76.47017669677734)	
	(541.065185546875, 154.63475036621094)	(523.6206665039062, 164.27911376953125)	
	(540.719970703125, 154.25473022460938)	(170.09632873535156, 76.98643493652344)	
	(541.0474243164062, 153.53848266601562)	(265.62371826171875, 76.4059829711914)	
	(540.8236083984375, 153.0699005126953)	(524.057373046875, 163.76736450195312)	
	(540.822265625, 152.44090270996094)	(169.5385284423828, 77.02174377441406)	
	(541.4010009765625, 151.6322784423828)	(266.236572265625, 76.08210754394531)	
	(542.0325927734375, 151.29446411132812)	(524.5222778320312, 163.06997680664062)	
	(283.79449462890625, 299.2834777832031)	(169.2118377685547, 76.9375)	
	(542.2739868164062, 150.64990234375)	(266.4619140625, 75.48388671875)	
	(283.7442626953125, 298.487060546875)	(524.8282470703125, 162.56398010253906)	
	(542.220458984375, 149.9937744140625)	(168.50509643554688, 77.26638793945312)	
	(283.7599792480469, 297.9002990722656)	(266.6112976074219, 75.6275405883789)	
	(541.9219970703125, 149.6962890625)	(524.99365234375, 162.2856903076172)	
	(541.4254150390625, 149.78192138671875)	(167.78138732910156, 77.60911560058594)	
	(540.888427734375, 149.85585021972656)	(266.239013671875, 75.46221923828125)	
	(540.3471069335938, 150.03651428222656)	(525.10107421875, 161.97018432617188)	
	(540.5441284179688, 150.01608276367188)	(167.80874633789062, 77.9651870727539)	
	(540.6446533203125, 150.0600128173828)	(266.42913818359375, 75.25396728515625)	
	(541.1925659179688, 149.9993133544922)	(525.225341796875, 161.5718536376953)	
	(541.9609375, 149.78173828125)	(167.7703857421875, 78.04061126708984)	
	(542.999267578125, 149.71031188964844)	(266.87298583984375, 75.14959716796875)	
	(543.8081665039062, 149.54002380371094)	(525.2059936523438, 161.27316284179688)	
	(544.4271240234375, 149.7827911376953)	(168.08749389648438, 77.42903137207031)	
	(545.1776733398438, 149.59030151367188)	(267.0529479980469, 74.78194427490234)	
	(545.5867919921875, 149.2064971923828)	(525.29345703125, 160.83746337890625)	
	(546.1796875, 149.00344848632812)	(168.4840545654297, 76.70086669921875)	
	(156.56332397460938, 152.6559600830078)	(266.6933898925781, 78.13082885742188)	
	(546.5498046875, 148.68382263183594)	(525.126220703125, 160.619384765625)	
	(157.26072692871094, 152.56065368652344)	(168.7445526123047, 76.39208221435547)	
	(546.6834716796875, 148.86868286132812)	(267.5082702636719, 80.26104736328125)	
	(156.93743896484375, 152.04808044433594)	(524.860107421875, 160.54275512695312)	
	(547.0986938476562, 148.88421630859375)	(169.0872039794922, 76.10277557373047)	
	(156.230224609375, 152.01858520507812)	(268.4825439453125, 79.820068359375)	
	(547.2685546875, 149.4521942138672)	(524.62841796875, 160.38589477539062)	
	(156.3369598388672, 151.38600158691406)	(169.4984588623047, 76.12261962890625)	
	(294.4991455078125, 297.1941833496094)	(268.4244384765625, 75.48284912109375)	
	(547.432861328125, 149.66505432128906)	(524.4212646484375, 160.22364807128906)	
	(156.38844299316406, 151.18772888183594)	(170.11216735839844, 75.9266586303711)	
	(294.4784851074219, 297.30047607421875)	(267.6743469238281, 74.21891784667969)	
	(547.183349609375, 149.80551147460938)	(524.255859375, 160.02195739746094)	
	(156.39715576171875, 150.50143432617188)	(170.55496215820312, 75.8794937133789)	
	(294.401611328125, 297.33843994140625)	(266.8736877441406, 73.13134765625)	
	(546.5880737304688, 149.83721923828125)	(170.88702392578125, 75.8025894165039)	
	(155.30648803710938, 151.0050506591797)	(266.3215637207031, 72.55745697021484)	
	(294.3883056640625, 297.59722900390625)	(171.04750061035156, 75.33346557617188)	
	(545.9710083007812, 150.27789306640625)	(266.13775634765625, 72.37699890136719)	
	(154.5715789794922, 151.54708862304688)	(171.37818908691406, 74.79532623291016)	
	(294.24859619140625, 297.95098876953125)	(266.13134765625, 72.23495483398438)	
	(545.7290649414062, 150.53335571289062)	(171.90591430664062, 74.59648895263672)	
	(151.639404296875, 149.03976440429688)	(266.5657653808594, 72.27780151367188)	
	(294.07568359375, 298.40533447265625)	(172.08460998535156, 74.59481048583984)	
	(545.82763671875, 149.9623565673828)	(266.0142822265625, 72.24567413330078)	
	(293.9855041503906, 298.6519775390625)	(172.1163787841797, 74.50243377685547)	
	(545.39013671875, 150.0189208984375)	(265.0069885253906, 72.09679412841797)	
	(293.864013671875, 298.65618896484375)	(172.22813415527344, 74.52652740478516)	
	(153.79371643066406, 151.69033813476562)	(264.2400207519531, 71.96839141845703)	
	(544.887451171875, 149.62884521484375)	(172.6614227294922, 74.13031005859375)	
	(293.58880615234375, 298.6544189453125)	(263.664306640625, 72.00737762451172)	
	(150.3556671142578, 149.06163024902344)	(172.82432556152344, 73.77383422851562)	
	(544.5927734375, 149.858642578125)	(262.9580078125, 72.13780212402344)	
	(293.47210693359375, 298.9356689453125)	(173.1555633544922, 73.15362548828125)	
	(544.5773315429688, 150.17173767089844)	(261.75408935546875, 72.03422546386719)	
	(293.32073974609375, 299.224853515625)	(173.40692138671875, 73.18116760253906)	
	(544.8306884765625, 150.70748901367188)	(524.5875854492188, 161.7347412109375)	
	(293.19122314453125, 299.4708251953125)	(261.3407897949219, 72.07522583007812)	
	(544.82666015625, 151.7034454345703)	(173.44674682617188, 73.4844970703125)	
	(293.03460693359375, 299.99237060546875)	(524.7739868164062, 161.92115783691406)	
	(297.9643859863281, 88.6846923828125)	(260.65960693359375, 70.92732238769531)	
	(544.86669921875, 152.4389190673828)	(173.51370239257812, 73.50139617919922)	
	(292.9815368652344, 300.49200439453125)	(524.8282470703125, 161.8017578125)	
	(297.68719482421875, 89.1900863647461)	(260.0522155761719, 70.41858673095703)	
	(544.815673828125, 151.8181610107422)	(173.7458038330078, 73.9098129272461)	
	(293.17718505859375, 301.12945556640625)	(524.9727783203125, 161.84176635742188)	
	(297.6051025390625, 90.00948333740234)	(260.1701354980469, 70.08991241455078)	
	(544.8656005859375, 152.31056213378906)	(173.28050231933594, 73.31314849853516)	
	(294.111572265625, 301.5438232421875)	(525.135498046875, 162.03285217285156)	
	(298.1316833496094, 91.64433288574219)	(260.558837890625, 69.96874237060547)	
	(545.296875, 152.04949951171875)	(173.12393188476562, 73.16534423828125)	
	(294.26220703125, 301.64495849609375)	(525.2816162109375, 162.16830444335938)	
	(298.1236267089844, 91.682861328125)	(340.61767578125, 141.15621948242188)	
	(545.8873901367188, 152.12744140625)	(260.4602966308594, 69.65838623046875)	
	(295.61810302734375, 301.50872802734375)	(172.8679962158203, 72.57752227783203)	
	(546.43603515625, 151.54295349121094)	(525.6502685546875, 162.30166625976562)	
	(296.9468078613281, 301.4082336425781)	(340.80859375, 140.70697021484375)	
	(547.1958618164062, 150.99185180664062)	(260.38824462890625, 69.50485229492188)	
	(298.4916687011719, 301.161376953125)	(173.3147735595703, 72.53759765625)	
	(547.584716796875, 151.04481506347656)	(525.8568115234375, 162.55267333984375)	
	(299.84051513671875, 300.6932373046875)	(341.11102294921875, 140.50625610351562)	
	(548.0279541015625, 150.94931030273438)	(260.48321533203125, 69.05314636230469)	
	(300.90155029296875, 300.08416748046875)	(173.16192626953125, 71.7286605834961)	
	(300.8818359375, 97.23139953613281)	(525.9223022460938, 162.39553833007812)	
	(548.646240234375, 150.33103942871094)	(173.02059936523438, 71.34691619873047)	
	(301.61029052734375, 299.3677978515625)	(525.8829956054688, 162.2248992919922)	
	(300.96270751953125, 97.45523071289062)	(341.5740661621094, 138.94735717773438)	
	(549.2378540039062, 149.81202697753906)	(172.7285614013672, 71.12287902832031)	
	(302.57061767578125, 298.7669677734375)	(525.8648071289062, 162.02133178710938)	
	(301.0826416015625, 97.56219482421875)	(341.849365234375, 138.4657440185547)	
	(549.5634765625, 149.27804565429688)	(173.11001586914062, 70.55543518066406)	
	(303.54583740234375, 298.37432861328125)	(525.792724609375, 161.77825927734375)	
	(301.1563720703125, 97.69975280761719)	(173.1747283935547, 70.927490234375)	
	(549.8772583007812, 149.1440887451172)	(525.8480224609375, 161.47836303710938)	
	(304.51763916015625, 297.7391052246094)	(342.50225830078125, 137.7996826171875)	
	(301.2073059082031, 97.80382537841797)	(172.67572021484375, 71.01472473144531)	
	(547.4639892578125, 151.24432373046875)	(525.9198608398438, 161.23712158203125)	
	(305.6398620605469, 297.08258056640625)	(342.6552429199219, 137.86483764648438)	
	(301.1405334472656, 98.07133483886719)	(172.74436950683594, 71.15142059326172)	
	(546.5828857421875, 151.62896728515625)	(525.9486083984375, 161.12405395507812)	
	(306.5964660644531, 296.42919921875)	(343.1497802734375, 137.9125213623047)	
	(301.03509521484375, 98.18515014648438)	(525.8865966796875, 161.04513549804688)	
	(547.3900146484375, 150.9210968017578)	(343.61590576171875, 137.71261596679688)	
	(307.67816162109375, 295.7643127441406)	(525.8126220703125, 160.96356201171875)	
	(300.9046630859375, 97.94522094726562)	(344.05511474609375, 137.7461395263672)	
	(550.783935546875, 148.9384765625)	(525.5838623046875, 161.17483520507812)	
	(309.1102294921875, 294.9927062988281)	(344.42926025390625, 137.96917724609375)	
	(155.49668884277344, 150.21742248535156)	(525.326904296875, 161.56585693359375)	
	(549.3005981445312, 148.9643096923828)	(345.04559326171875, 138.30235290527344)	
	(309.6164855957031, 294.6209716796875)	(524.9169921875, 162.5283203125)	
	(155.62045288085938, 149.50518798828125)	(345.9205627441406, 139.2181854248047)	
	(548.9688720703125, 148.3468780517578)	(525.09716796875, 162.40829467773438)	
	(310.14801025390625, 294.32684326171875)	(346.09515380859375, 139.0880126953125)	
	(155.85342407226562, 148.982177734375)	(524.5254516601562, 163.6766357421875)	
	(549.1134033203125, 148.35665893554688)	(346.844970703125, 140.39730834960938)	
	(311.1714172363281, 293.75164794921875)	(175.03228759765625, 72.42269134521484)	
	(156.25572204589844, 148.0780792236328)	(524.23291015625, 164.542724609375)	
	(549.36083984375, 148.20616149902344)	(347.4752502441406, 141.20274353027344)	
	(312.03521728515625, 293.4249267578125)	(175.54806518554688, 73.13288879394531)	
	(156.5353546142578, 147.8196258544922)	(523.9935913085938, 164.93734741210938)	
	(549.9404907226562, 148.63009643554688)	(347.95501708984375, 142.3599853515625)	
	(312.6420593261719, 292.89654541015625)	(175.8837890625, 73.75758361816406)	
	(156.72531127929688, 147.5756378173828)	(523.8399047851562, 165.02578735351562)	
	(550.6466064453125, 148.92596435546875)	(348.4920654296875, 143.45941162109375)	
	(313.5299072265625, 292.20556640625)	(523.80322265625, 165.15322875976562)	
	(156.8387451171875, 148.43043518066406)	(348.6935729980469, 144.4883575439453)	
	(314.36962890625, 291.462158203125)	(523.7631225585938, 165.1858367919922)	
	(157.4251251220703, 147.9524383544922)	(348.7882080078125, 145.56521606445312)	
	(315.21649169921875, 291.0394287109375)	(523.7716064453125, 165.2073974609375)	
	(158.05409240722656, 146.8759002685547)	(348.7587890625, 147.01846313476562)	
	(300.0601806640625, 97.92619323730469)	(523.5278930664062, 164.94992065429688)	
	(316.24078369140625, 290.4313659667969)	(349.03021240234375, 148.69393920898438)	
	(299.97821044921875, 97.80084991455078)	(523.0908203125, 164.53956604003906)	
	(317.16998291015625, 289.734375)	(349.470947265625, 150.56178283691406)	
	(299.78125, 97.64822387695312)	(522.5185546875, 163.9212646484375)	
	(317.87506103515625, 288.9835205078125)	(349.7421875, 152.47982788085938)	
	(299.66314697265625, 97.54257202148438)	(522.0478515625, 163.19537353515625)	
	(319.1806335449219, 288.15435791015625)	(349.9928283691406, 153.79046630859375)	
	(299.595703125, 97.35865783691406)	(521.5394287109375, 162.44528198242188)	
	(320.41009521484375, 287.37139892578125)	(350.02447509765625, 155.32907104492188)	
	(299.55987548828125, 97.23929595947266)	(521.0654907226562, 161.97132873535156)	
	(321.24053955078125, 286.8212585449219)	(175.9190216064453, 81.73828125)	
	(299.51806640625, 97.05058288574219)	(520.8797607421875, 161.75521850585938)	
	(322.2884521484375, 286.2630615234375)	(175.9485321044922, 82.18953704833984)	
	(299.51629638671875, 96.90898132324219)	(520.5858154296875, 161.0203094482422)	
	(323.2034912109375, 285.77239990234375)	(176.0109405517578, 82.61064147949219)	
	(299.5106201171875, 96.83715057373047)	(520.2620849609375, 160.2321014404297)	
	(323.9835205078125, 285.385009765625)	(176.33358764648438, 82.78221893310547)	
	(299.47528076171875, 96.78691101074219)	(351.0096435546875, 155.62405395507812)	
	(324.93603515625, 284.6927795410156)	(519.8746337890625, 159.40371704101562)	
	(299.474365234375, 96.73153686523438)	(176.40174865722656, 82.78607940673828)	
	(325.9337158203125, 284.1539306640625)	(351.64892578125, 154.88829040527344)	
	(299.5514221191406, 96.83716583251953)	(519.413818359375, 158.40267944335938)	
	(326.7942810058594, 283.66778564453125)	(176.30545043945312, 82.42395782470703)	
	(300.16131591796875, 97.13430786132812)	(352.16644287109375, 154.1924591064453)	
	(327.8028259277344, 282.9266357421875)	(519.228515625, 157.6875)	
	(300.9457092285156, 97.54153442382812)	(176.1710662841797, 81.10220336914062)	
	(329.23699951171875, 281.94720458984375)	(352.1514587402344, 154.04779052734375)	
	(301.8403015136719, 98.00172424316406)	(519.1075439453125, 156.7982177734375)	
	(330.34478759765625, 281.22039794921875)	(176.08775329589844, 80.8741226196289)	
	(302.3689880371094, 98.16815185546875)	(352.30889892578125, 153.52415466308594)	
	(331.3797302246094, 280.5616455078125)	(519.005859375, 155.74948120117188)	
	(302.78802490234375, 97.91069793701172)	(176.2901611328125, 81.23426055908203)	
	(332.27337646484375, 279.7408752441406)	(352.5771484375, 152.86676025390625)	
	(303.039794921875, 97.65742492675781)	(518.9077758789062, 154.886962890625)	
	(332.9317932128906, 279.04986572265625)	(176.50387573242188, 81.12413787841797)	
	(165.77374267578125, 142.19920349121094)	(352.76568603515625, 152.29483032226562)	
	(333.9461364746094, 278.48175048828125)	(518.8270263671875, 153.98590087890625)	
	(166.27349853515625, 142.04762268066406)	(352.92138671875, 151.56201171875)	
	(334.28692626953125, 278.3878173828125)	(518.7461547851562, 153.22117614746094)	
	(166.43394470214844, 141.83746337890625)	(353.2178039550781, 150.96682739257812)	
	(335.05499267578125, 277.3677062988281)	(518.8455200195312, 151.93408203125)	
	(166.84146118164062, 141.09107971191406)	(353.55865478515625, 150.16436767578125)	
	(335.94049072265625, 276.35797119140625)	(519.00634765625, 151.01971435546875)	
	(167.5471649169922, 140.3244171142578)	(353.7025146484375, 149.82460021972656)	
	(337.1878662109375, 275.5953063964844)	(519.012939453125, 150.8974609375)	
	(168.3414764404297, 139.66183471679688)	(353.9989013671875, 149.72055053710938)	
	(172.4262237548828, 140.93382263183594)	(519.0447998046875, 150.86593627929688)	
	(173.8671875, 141.22885131835938)	(354.5293273925781, 149.77328491210938)	
	(175.63150024414062, 140.72140502929688)	(519.0511474609375, 150.81021118164062)	
	(176.5939178466797, 139.83351135253906)	(355.0321960449219, 150.1796875)	
	(177.25180053710938, 139.099365234375)	(519.03955078125, 150.598388671875)	
	(571.0240478515625, 137.47100830078125)	(355.8866271972656, 150.850341796875)	
	(177.68511962890625, 138.54833984375)	(519.1492919921875, 150.10537719726562)	
	(571.724853515625, 136.84446716308594)	(356.93780517578125, 151.7900390625)	
	(178.57498168945312, 138.4976806640625)	(519.2825317382812, 149.47164916992188)	
	(572.24609375, 135.91075134277344)	(357.88067626953125, 152.4387969970703)	
	(178.91650390625, 138.21774291992188)	(519.49365234375, 148.7502899169922)	
	(572.72119140625, 135.1338348388672)	(358.78277587890625, 153.2353057861328)	
	(179.3648223876953, 137.84112548828125)	(519.887939453125, 147.90170288085938)	
	(573.0804443359375, 134.37466430664062)	(359.9804992675781, 154.14443969726562)	
	(179.20034790039062, 137.64297485351562)	(519.998779296875, 147.27008056640625)	
	(573.5961303710938, 133.985595703125)	(361.32647705078125, 155.25550842285156)	
	(179.17782592773438, 137.4178009033203)	(179.7403564453125, 82.71147918701172)	
	(573.853515625, 133.6741485595703)	(519.899658203125, 146.752685546875)	
	(178.78443908691406, 137.3098907470703)	(362.35565185546875, 156.2522735595703)	
	(574.3616333007812, 133.2598114013672)	(180.05987548828125, 83.33148193359375)	
	(179.03575134277344, 137.07473754882812)	(519.855224609375, 146.50027465820312)	
	(574.9703369140625, 133.0095977783203)	(363.286376953125, 157.03890991210938)	
	(179.30946350097656, 136.96058654785156)	(180.6397247314453, 83.50938415527344)	
	(575.5647583007812, 132.8763427734375)	(519.75537109375, 146.4463348388672)	
	(180.1472625732422, 136.72792053222656)	(364.1383361816406, 157.88034057617188)	
	(576.0223388671875, 132.79364013671875)	(180.83497619628906, 83.67313385009766)	
	(180.5911407470703, 136.43907165527344)	(519.70947265625, 146.14804077148438)	
	(577.072265625, 132.4479217529297)	(364.9007568359375, 158.59249877929688)	
	(181.58526611328125, 135.8822784423828)	(181.7411651611328, 83.40196990966797)	
	(577.9760131835938, 132.2172393798828)	(519.602783203125, 146.07171630859375)	
	(182.3651123046875, 135.07662963867188)	(365.9512939453125, 159.3431396484375)	
	(578.63671875, 131.9716339111328)	(182.6875, 83.69307708740234)	
	(183.1856689453125, 134.2982940673828)	(519.5806884765625, 146.203369140625)	
	(579.1493530273438, 132.1469268798828)	(366.3585205078125, 159.7458953857422)	
	(183.78521728515625, 133.75320434570312)	(183.00894165039062, 83.8930435180664)	
	(579.4946899414062, 132.2111358642578)	(519.75048828125, 145.89122009277344)	
	(184.21099853515625, 133.34561157226562)	(367.61602783203125, 160.3821258544922)	
	(579.7070922851562, 132.216552734375)	(183.65280151367188, 83.78402709960938)	
	(185.20272827148438, 132.9521026611328)	(519.862548828125, 145.4629364013672)	
	(579.8311767578125, 132.0283966064453)	(368.70159912109375, 160.82879638671875)	
	(190.91812133789062, 132.58084106445312)	(184.2238311767578, 84.00410461425781)	
	(579.6699829101562, 131.6280059814453)	(520.0172119140625, 144.99722290039062)	
	(187.97567749023438, 132.29371643066406)	(369.6142272949219, 161.40213012695312)	
	(579.7804565429688, 130.9556884765625)	(184.9115447998047, 84.49066162109375)	
	(187.06008911132812, 131.84906005859375)	(519.9487915039062, 144.97174072265625)	
	(579.6497192382812, 130.79849243164062)	(185.39874267578125, 84.76042175292969)	
	(187.48358154296875, 131.46949768066406)	(519.9846801757812, 144.85031127929688)	
	(576.8816528320312, 130.87852478027344)	(185.6664581298828, 84.77019500732422)	
	(187.06326293945312, 131.4320831298828)	(520.076904296875, 144.77696228027344)	
	(576.3961181640625, 130.5478973388672)	(185.81016540527344, 84.44539642333984)	
	(191.2807159423828, 131.4970703125)	(185.86099243164062, 83.60940551757812)	
	(577.87548828125, 130.45458984375)	(186.2465057373047, 83.1083984375)	
	(192.8748016357422, 131.4507293701172)	(186.5985107421875, 82.53643798828125)	
	(579.0602416992188, 130.35887145996094)	(190.64906311035156, 81.42212677001953)	
	(194.1221923828125, 131.5079803466797)	(193.54556274414062, 80.67462158203125)	
	(579.705810546875, 130.21859741210938)	(194.82998657226562, 80.20918273925781)	
	(194.6013946533203, 132.00704956054688)	(193.99783325195312, 79.98709869384766)	
	(580.1801147460938, 130.41273498535156)	(194.48643493652344, 79.879638671875)	
	(194.661376953125, 132.13809204101562)	(195.41139221191406, 80.11798858642578)	
	(196.90225219726562, 132.2269744873047)	(196.6585235595703, 80.44282531738281)	
	(197.3888397216797, 132.35850524902344)	(197.150146484375, 80.92274475097656)	
	(368.77227783203125, 257.9385986328125)	(197.68490600585938, 81.27796936035156)	
	(199.15072631835938, 132.25979614257812)	(198.4169921875, 81.45610046386719)	
	(369.7628479003906, 257.6531677246094)	(199.1227264404297, 81.42308044433594)	
	(371.2830505371094, 257.3102111816406)	(199.41770935058594, 81.51466369628906)	
	(372.141357421875, 256.9714660644531)	(200.17222595214844, 81.75713348388672)	
	(373.265625, 256.4833679199219)	(200.37852478027344, 82.29114532470703)	
	(374.42535400390625, 256.1125183105469)	(200.7378387451172, 82.73672485351562)	
	(375.5743408203125, 255.63331604003906)	(299.11285400390625, 74.12356567382812)	
	(376.6294860839844, 255.15249633789062)	(200.9105682373047, 82.80424499511719)	
	(377.875244140625, 254.58843994140625)	(299.2473449707031, 74.52945709228516)	
	(378.94476318359375, 254.05313110351562)	(201.06077575683594, 82.95919036865234)	
	(379.9179992675781, 253.41073608398438)	(299.45269775390625, 74.62010192871094)	
	(381.1783447265625, 252.98110961914062)	(200.9706573486328, 83.37879180908203)	
	(382.21429443359375, 252.36276245117188)	(299.62451171875, 75.03672790527344)	
	(383.234130859375, 251.86251831054688)	(201.0153350830078, 84.13529968261719)	
	(384.50030517578125, 251.51885986328125)	(299.0923156738281, 75.13007354736328)	
	(169.31983947753906, 46.66156005859375)	(201.16416931152344, 84.73609924316406)	
	(384.7670593261719, 251.40911865234375)	(298.7498779296875, 74.90013122558594)	
	(333.94293212890625, 92.04818725585938)	(200.78248596191406, 85.33596801757812)	
	(385.2060852050781, 250.29592895507812)	(298.565673828125, 74.85116577148438)	
	(335.35589599609375, 91.56532287597656)	(200.75302124023438, 85.909912109375)	
	(385.065185546875, 249.40594482421875)	(298.4541320800781, 74.89356231689453)	
	(336.8109130859375, 91.34788513183594)	(200.7286834716797, 85.89665222167969)	
	(384.8948059082031, 249.00877380371094)	(297.8211975097656, 74.6314926147461)	
	(338.1037292480469, 91.29005432128906)	(513.9166259765625, 144.324951171875)	
	(384.738037109375, 248.6053009033203)	(200.76377868652344, 85.8337631225586)	
	(339.37542724609375, 91.53327178955078)	(298.45880126953125, 74.58480072021484)	
	(384.4660339355469, 248.0654296875)	(513.8736572265625, 144.32777404785156)	
	(340.47100830078125, 92.22796630859375)	(201.05384826660156, 86.68054962158203)	
	(384.32391357421875, 247.8096160888672)	(297.9407958984375, 74.44953918457031)	
	(341.6170349121094, 92.76988220214844)	(513.0762939453125, 144.08168029785156)	
	(384.23876953125, 247.63095092773438)	(201.62843322753906, 86.9556884765625)	
	(384.1043701171875, 247.57894897460938)	(297.6307678222656, 74.02925872802734)	
	(384.0157165527344, 247.35931396484375)	(511.6463317871094, 143.302978515625)	
	(383.9112243652344, 247.25161743164062)	(202.20147705078125, 86.78913879394531)	
	(383.77447509765625, 246.64093017578125)	(510.03173828125, 142.64495849609375)	
	(383.87823486328125, 246.2725830078125)	(202.3797149658203, 87.07078552246094)	
	(383.70526123046875, 246.14056396484375)	(508.5848388671875, 142.11798095703125)	
	(348.701416015625, 97.24234008789062)	(394.98150634765625, 166.95806884765625)	
	(383.6820373535156, 245.83065795898438)	(205.76791381835938, 86.43818664550781)	
	(349.7574157714844, 97.91329956054688)	(507.20733642578125, 141.6036376953125)	
	(383.7022399902344, 245.63189697265625)	(396.19927978515625, 167.7376708984375)	
	(350.811767578125, 98.3128662109375)	(206.62355041503906, 86.8419418334961)	
	(383.73101806640625, 245.4973602294922)	(200.7283935546875, 133.77557373046875)	
	(351.88897705078125, 98.62565612792969)	(505.7183837890625, 140.80288696289062)	
	(383.99169921875, 245.8468017578125)	(397.62969970703125, 168.62774658203125)	
	(352.73193359375, 99.20570373535156)	(206.7380828857422, 87.92290496826172)	
	(384.1579284667969, 246.86276245117188)	(201.3346710205078, 134.53567504882812)	
	(353.3680725097656, 99.86614990234375)	(504.57049560546875, 140.01571655273438)	
	(384.6246337890625, 247.79490661621094)	(398.905517578125, 169.26712036132812)	
	(354.06817626953125, 100.47293090820312)	(207.85130310058594, 88.51041412353516)	
	(385.20941162109375, 248.864013671875)	(202.41403198242188, 134.90817260742188)	
	(354.9526672363281, 100.74964904785156)	(503.55303955078125, 139.42230224609375)	
	(385.68109130859375, 250.06710815429688)	(400.3218078613281, 169.80455017089844)	
	(355.9979553222656, 101.11976623535156)	(209.40802001953125, 89.00698852539062)	
	(386.39434814453125, 251.35482788085938)	(203.20352172851562, 134.99986267089844)	
	(357.1007080078125, 101.41744232177734)	(502.69110107421875, 138.8117218017578)	
	(387.03668212890625, 252.6571807861328)	(401.6352233886719, 170.01968383789062)	
	(358.0240783691406, 102.04331970214844)	(210.97816467285156, 89.76942443847656)	
	(387.7873229980469, 253.77377319335938)	(203.46421813964844, 134.6988525390625)	
	(359.02496337890625, 102.41854858398438)	(501.9248046875, 137.99496459960938)	
	(388.4700622558594, 255.2994384765625)	(402.89471435546875, 170.25860595703125)	
